id	user_id	ticket_id
0	U1234	8
1	U1234	6
2	U1234	11
3	U1234	3
4	U1234	21
5	U1234	13
6	U1234	19
7	U1234	20
8	U1234	10
9	U1234	4
10	U1234	23
11	U1234	18
12	U1234	2
13	U5678	4
14	U5678	13
15	U5678	7
16	U5678	5
17	U5678	21
18	U5678	1
19	U5678	0
20	U5678	10
21	U5678	8
22	U5678	18
23	U5678	2
24	U9101	5
25	U9101	23
26	U9101	14
27	U9101	12
28	U9101	16
29	U9101	18
30	U9101	24
31	U9101	0
32	U9101	10
33	U9101	6
34	U9101	19
35	U9101	3
36	U9101	21
37	U1121	1
38	U1121	14
39	U1121	5
40	U1121	18
41	U1121	13
42	U1121	12
43	U1121	19
44	U1121	15
45	U1121	4
46	U1121	3
47	U1121	16
48	U1121	9
49	U1121	24
50	U3141	1
51	U3141	17
52	U3141	20
53	U3141	9
54	U3141	10
